JPL Id,Name,Mass (kg),Density (kg / m3)
MB:708,Bianca Uranus VIII,92007294861102400,1294
MB:709,Cressida Uranus IX,339872776077495000,1287
MB:710,Desdemona Uranus X,179945604369613000,1311
MB:711,Juliet Uranus XI,559891360816532000,1304
MB:712,Portia Uranus XII,1700294181987350000,1314
MB:713,Rosalind,249957782113766000,1279
MB:714,Belinda Uranus XIV,360034901000533000,1343
MB:715,Puck Uranus XV ,2900601639204200000,1303
MB:716,Caliban Uranus XVI,390864397363200000,2000
MB:717,Sycorax Uranus XVII,2300823953662500000,1302
MB:718,Prospero Uranus XVIII,85019352443750000,1299
MB:719,Setebos Uranus XIX,74988058457088000,1295
MB:720,Stephano Uranus XX,21995639283165900,1282
MB:721,Trinculo Uranus XXI -,3899483089318800,1277
MB:722,Francisco Uranus XXII -,7197686279808930,1291
MB:723,Margaret Uranus XXIII -,5399350653733330,1289
MB:724,Ferdinand Uranus XXIV -,5399350653733330,1289
MB:725,Perdita Uranus XXV,13006193778000000,920
MB:726,Mab Uranus XXVI,1047197566666670,2000
MB:727,Cupid Uranus XXVII -,3798713361873600,1244
MB:799,Uranus,86810000000000000000000000,1271
MB:801,Triton,21400000000000000000000,2061
MB:802,Nereid Neptune II,30992767029680800000,1506
MB:803,Naiad Neptune III,189972085436258000,1262
MB:804,Thalassa Neptune IV,349899084130347000,1212
MB:805,Despina Neptune V,2099369321775000000,1188
MB:806,Galatea Neptune VI,2120925657490160000,743
MB:807,Larissa Neptune VII,4201472361175360000,1099
MB:808,Proteus,50003386404224400000,1289
MB:809,Halimede,249576501668533000,2000
MB:810,Psamathe,37005415221517900,1288
MB:811,Sao Neptune XI,89204477518933300,2000
MB:812,Laomedeia Neptune XII,77584773319200000,2000
MB:813,Neso Neptune XIII,226194674400000000,2000
MB:899,Neptune,102430000000000000000000000,1638
MB:901,Charon,1520000000000000000000,1650
MB:902,Nix Pluto II,70000000000000000,2000
MB:903,Hydra Pluto III,420000000000000000,2000
MB:904,S/2011 P Pluto IV,14000000000000000,2000
MB:999,Pluto,13050000000000000000000,2003
MB:-140,103P/Hartley Hartley,300209304076,387
SB:1,Ceres,949915792516642000000,2116
SB:10,Hygiea,88487675425595600000,2503
SB:100,Hekate,999948547053024000,2709
SB:1000,Piazzia,114226550182625000,2000
SB:100000,Astronautica,4289321233067,2000
SB:1001,Gaussia,496949699656800000,2000
SB:101,Helena,299977291921521000,2011
SB:10199,Chariklo,18109822180735100000,2000
SB:102,Miriam,598773955051633000,2000
SB:1021,Flammario,1028150512167080000,2000
SB:103,Hera,789983329646181000,1989
SB:1036,Ganymed,33001680849835800,1960
SB:10370,Hylonome,359188765366667000,2000
SB:104,Klymene,1999881844048530000,2013
SB:105,Artemis,1800211090231960000,2030
SB:106,Dione,3299366308638640000,2000
SB:107,Camilla,11199705538984500000,1234
SB:107,S/2001 1 Camilla I,1499750278287070,2152
SB:108,Hecuba,390038595294484000,2715
SB:109,Felicitas,750111048104273000,2005
SB:1093,Freda,1665620590449350000,2000
SB:11,Parthenope,6150580194895220000,3258
SB:110,Lydia,670073526542177000,2005
SB:111,Ate,2551388300688530000,2000
SB:112,Iphigenia,402375803532181000,2000
SB:113,Amalthea,99983344457091000,1944
SB:114,Kassandra,1000003962779760000,1926
SB:1143,Odysseus,2076884798458630000,2000
SB:115,Thyra,532954592901062000,2000
SB:116,Sirona,385998921642522000,2000
SB:117,Lomia,3399804210036900000,1974
SB:1172,Aneas,3050673367107660000,2000
SB:1173,Anchises(1930 UB),2108284256956380000,2000
SB:118,Peitho,76000508818826000,1996
SB:118378,1999 HT11,3259021246335730000,2000
SB:118401,LINEAR,230039983864800,2034
SB:119,Althaea,199967092723474000,2030
SB:119878,2002 CY224,14997229594158300000,2021
SB:119951,2002 KX14,6107256208800000000,2000
SB:119979,2002 WC19,67490794504552800000,1999
SB:12,Victoria,1502989419534800000,2000
SB:120,Lachesis,5501311062515230000,1991
SB:120178,2003 OP32,12741252793633300000,2000
SB:120347,Salacia,200019459665155000000,1683
SB:1208,Troilus,1155670416270440000,2000
SB:121,Hermione,5379863354215230000,1498
SB:121,S/2002 1 Hermione I,1599648737356800,1768
SB:122,Gerda,569935009495572000,1996
SB:123,Brunhild,115594662093906000,2000
SB:124,Alkeste,469988158259336000,2016
SB:125,Liberatrix,87020989031291700,2008
SB:126,Velleda,94017940938717000,1997
SB:1269,Rollandia,1218854849810680000,2000
SB:127,Johanna,1901551607036530000,2000
SB:128,Nemesis,7001456819150570000,2006
SB:129,Antigone,1999806153898560000,2647
SB:13,Egeria,16298077553152900000,3477
SB:130,Elektra,6599962398364120000,2084
SB:130,S/2003 1 Elektra I,400025281676400,3537
SB:131,Vala,69014344624522600,1993
SB:132,Aethra,82011632952447400,1988
SB:132524,APL,12741252793633,2000
SB:133,Cyrene,309999454683579000,2006
SB:134,Sophrosyne,2000293536534520000,2039
SB:135,Hertha,521029154261416000,2000
SB:136,Austria,67987817089683800,1884
SB:136108,Haumea,4000199529319950000000,2580
SB:136199,Eris,16696843266259100000000,2534
SB:136472,Makemake,2999927440379000000000,2001
SB:137,Meliboea,3199402772089180000,1987
SB:137108,1999 AN10,2300693053967,2000
SB:137295,1999 RB216,3750618719229300000,2000
SB:138,Tolosa,98987462440231700,2007
SB:139,Juewa,3999527479319480000,1989
SB:1390,Abastumani,1097623129002220000,2000
SB:14,Irene,8199112868211090000,4459
SB:140,Siwa,1399710928394230000,2020
SB:141,Lumen,1599963414234210000,1358
SB:142,Polana,180006980570942000,2034
SB:143,Adria,760103873866047000,1996
SB:1437,Diomedes,4599759210939700000,1980
SB:144,Vibilia,2999895355609490000,1985
SB:144897,2004 UX10,130024538235219000000,1348
SB:144898,2004 VD17,300045111875,2937
SB:145,Adeona,3599217919543090000,1991
SB:145451,2005 RM43,200030074583290000000,1958
SB:145452,2005 RN43,407040030918893000000,2704
SB:145453,2005 RR43,111522796071502000000,2000
SB:145474,2005 SA278,3622668797382340000,2000
SB:145480,2005 TB190,54126189741522400000,2000
SB:146,Lucina,2400129428749280000,1984
SB:147,Protogeneia,2500374272614390000,2033
SB:148,Gallia,979858031511119000,2003
SB:148209,2000 CR105,12998772624471900000,1533
SB:14827,Hypnos,763407026100,2000
SB:148780,Altjira,41159053160266700000,2000
SB:148780,S/2007 1 Altjira I,15589563154322400000,2000
SB:149,Medusa,7998796349739930,1980
SB:15,Eunomia,31201843028656800000,3577
SB:150,Nuwa,3620192172880300000,2003
SB:153,Hilda,5200605969725220000,1999
SB:154,Bertha,5199850302741080000,1570
SB:156,Xanthippe,1850077659712020000,1995
SB:1566,Icarus,2899371714040,2018
SB:15789,1993 SC,50089707946842300000,2000
SB:158,Koronis,46291290918681500,1998
SB:1583,Antilochus,1098920300184630000,2000
SB:15874,1996 TL66RA,199977944237573000000,2009
SB:15875,1996 TP66,4289321233066670000,2000
SB:159,Aemilia,1400013153092450000,1369
SB:16,Psyche,21900338021413800000,6730
SB:162,Laurentia,1019176937968340000,2000
SB:1620,Geographos,4000991653394,1378
SB:164,Eva,1210180497766440000,2004
SB:165,Loreley,3910232867984890000,2014
SB:167,Urda,66686143778855500,1999
SB:168,Sibylla,3419993867698410000,1999
SB:17,Thetis,1200075845029200000,3144
SB:171,Ophelia,1660175868521660000,1995
SB:173,Ino,3830181365264560000,1999
SB:174567,2003 MW12,616071237208594000000,2789
SB:175,Andromache,1080048387362260000,1992
SB:176,Iduna,1760450048440210000,1896
SB:17P,17P/Holmes,41159053160267,2000
SB:18,Melpomene,2999387536926430000,2061
SB:181,Eucharis,1200149434110850000,1889
SB:1815,Beethoven,33043791428593100,2000
SB:181902,1999 RD215,9513629485428890000,2000
SB:185,Eunike,4090896879436140000,1999
SB:1862,Apollo,5101150151051,1983
SB:1867,Deiphobus,1933052815882660000,2000
SB:187,Lamberta,2369596543239200000,2041
SB:19,Fortuna,12697605926303900000,2129
SB:191,Kolga,1079890407347270000,2000
SB:192,Nausikaa,1152988528926280000,2000
SB:19255,1994 VK8,5601099809936460000,1996
SB:19308,1996 TO66,8377580533333330000,2000
SB:194,Prokne,5000257983253300000,1999
SB:19521,Chaos,432825368822323000000,3789
SB:196,Philomela,2650263875200240000,1995
SB:19P,19P/Borrelly,115811673292800,2000
SB:1P,1P/Halley,219526643894250,315
SB:2,Pallas,210969481108970000000,2676
SB:20,Massalia,5669902522662200000,3552
SB:200,Dynamene,2214714503168010000,2000
SB:2000,2000 Herschel,4289321233066670,2000
SB:20000,Varuna,369859152509092000000,1002
SB:2002,2002 Euler,5499247433265720,1980
SB:202421,2005 UQ5139,886169080542462000000,1974
SB:203,Pompeja,1645157603772070000,2000
SB:20461,Dioretsa,4321571634108430000,2000
SB:2060,Chiron,9999334955466820000,1502
SB:2062,Aten,759971694483,1991
SB:208,Lacrimosa,73893738389219000,1999
SB:208996,2003 AZ84,529999254860800000000,1977
SB:209,Dido,4280213058454660000,1998
SB:21,Lutetia,1699996435939090000,3716
SB:211,Isolda,3070476285563500000,1997
SB:212,Medea,2639837805199080000,1999
SB:216,Kleopatra,1996612013348270000,2000
SB:22,Kalliope,8091067023183380000,3366
SB:221,Eos,1170022403232960000,1994
